symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return,holding_days
现货结算价:LME铜,COMMO,W,2008-08-15,2008-08-22,2008-09-05,1,7,-0.1559866066274102,0.35,-0.0321477428180575,0.35,0.35,-0.0114267099863201,-0.0321477428180575,14
万得科技大类指数,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.2692064020273513,0.4,-0.0302812707975759,0.1111111111111111,1.0,-0.0034201411997306,-0.0302812707975759,14
中信风格指数:周期,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3251918881422097,0.4,0.0916848856058452,0.1111111111111111,1.0,0.010131653956205,0.0916848856058452,14
中信风格指数:成长,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3426609265177841,0.4,0.0772595187614482,0.1111111111111111,1.0,0.0085288354179386,0.0772595187614482,14
中信风格指数:消费,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3001566851494818,0.4,0.0541645927678167,0.1111111111111111,1.0,0.0059627325297574,0.0541645927678167,14
中信风格指数:稳定,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.1945865264530197,0.4,0.0951796653895284,0.1111111111111111,1.0,0.0105199628210587,0.0951796653895284,14
中证全指,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.2891610104261423,0.4,0.0707577815840765,0.1111111111111111,1.0,0.0078064201760085,0.0707577815840765,14
中证红利,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.271354414157559,0.4,0.0884101003413879,0.1111111111111111,1.0,0.0097677889268208,0.0884101003413879,14
申万中盘指数,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3540381921335188,0.4,0.0649893365611848,0.1111111111111111,1.0,0.0071654818401316,0.0649893365611848,14
申万小盘指数,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3294638113059348,0.4,0.0164596647775234,0.1111111111111111,1.0,0.0017732960863914,0.0164596647775234,14
恒生指数,EQUITY,W,2008-10-17,2008-10-24,2008-11-07,1,7,-0.2698537064094617,0.4,-0.0213532922776293,0.4,0.4,-0.0087413169110517,-0.0213532922776293,14
恒生指数,EQUITY,W,2008-10-24,2008-10-31,2008-11-14,1,8,-0.3669691920686627,0.4,0.0732487298151485,0.4,0.4,0.0290994919260594,0.0732487298151485,14
ICE布油,COMMO,M,2009-02-27,2009-03-31,2009-05-29,1,8,-0.7050758459743292,0.35,0.3325914935707221,0.0804597701149425,1.0,0.0267200052298282,0.3325914935707221,59
中信风格指数:周期,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6712639384352928,0.4,0.8141245861225559,0.0919540229885057,1.0,0.0748160538963269,0.8141245861225559,183
中信风格指数:成长,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.5973461421289461,0.4,0.7365292691793104,0.0919540229885057,1.0,0.0676808523383274,0.7365292691793104,183
中信风格指数:稳定,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.561713507174431,0.4,0.3078581326967544,0.0919540229885057,1.0,0.0282628167997015,0.3078581326967544,183
中信风格指数:金融,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6549612677009256,0.4,0.7959377137196242,0.0919540229885057,1.0,0.0731436978132987,0.7959377137196242,183
中证全指,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6406323613068696,0.4,0.6797184385743507,0.0919540229885057,1.0,0.0624568679148828,0.6797184385743507,183
中证红利,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6646899741318493,0.4,0.6522249886032894,0.0919540229885057,1.0,0.0599287345842105,0.6522249886032894,183
恒生综合行业指数-资讯科技业,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6305002428363283,0.4,1.3847551776162388,0.0919540229885057,1.0,0.1272878324244817,1.3847551776162388,183
标普500,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.3848579367457571,0.4,0.1703072239136449,0.0919540229885057,1.0,0.0156144573713696,0.1703072239136449,183
申万中盘指数,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6187819147137399,0.4,0.764355835477099,0.0919540229885057,1.0,0.0702396170553654,0.764355835477099,183
申万大盘指数,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6440856068857124,0.4,0.621989774260788,0.0919540229885057,1.0,0.0571484849894977,0.621989774260788,183
恒生指数,EQUITY,Q,2009-03-31,2009-06-30,2009-12-31,1,5,-0.4058426564025928,0.4,0.6111128891646034,0.4,0.8,0.2442451556658413,0.6111128891646034,184
标普500,EQUITY,Q,2009-03-31,2009-06-30,2009-12-31,1,6,-0.4566250783186684,0.4,0.3975960996152257,0.4,0.8,0.1588384398460902,0.3975960996152257,184
期货收盘价(连续):CBOT小麦,COMMO,Q,2009-06-30,2009-09-30,2010-03-31,1,5,-0.3938226227175717,0.35,-0.1110024449877752,0.35,0.35,-0.0390258557457213,-0.1110024449877752,182
期货收盘价(连续):CBOT小麦,COMMO,Q,2009-09-30,2009-12-31,2010-06-30,1,6,-0.4575527626274602,0.35,0.0169398907103826,0.35,0.35,0.0057539617486339,0.0169398907103826,181
中信风格指数:稳定,EQUITY,W,2010-05-21,2010-05-28,2010-06-11,1,7,-0.1948607475393089,0.4,0.0104088545763463,0.4,0.4,0.0039635418305385,0.0104088545763463,14
恒生医疗保健指数,EQUITY,W,2011-08-19,2011-08-26,2011-09-09,1,7,-0.213284489815247,0.4,0.0296754276967792,0.4,0.4,0.0116701710787116,0.0296754276967792,14
中信风格指数:周期,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1949021243366063,0.4,0.0032176088068325,0.125,1.0,0.000339701100854,0.0032176088068325,14
中信风格指数:成长,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1759942377974477,0.4,-0.0444834651503182,0.125,1.0,-0.0056229331437897,-0.0444834651503182,14
中信风格指数:稳定,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1089439413784927,0.4,-0.0080412712731013,0.125,1.0,-0.0010676589091376,-0.0080412712731013,14
中证全指,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1480641093750999,0.4,-0.0089781781435832,0.125,1.0,-0.0011847722679479,-0.0089781781435832,14
中证红利,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1186808369954049,0.4,0.0219682025862795,0.125,1.0,0.0026835253232849,0.0219682025862795,14
申万中盘指数,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1765528937884247,0.4,-0.0298817431302884,0.125,1.0,-0.003797717891286,-0.0298817431302884,14
申万大盘指数,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1144932296799153,0.4,0.0231328826972219,0.125,1.0,0.0028291103371527,0.0231328826972219,14
申万小盘指数,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.1918236939282792,0.4,-0.0477209649666448,0.125,1.0,-0.0060276206208306,-0.0477209649666448,14
中信风格指数:周期,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.2042979324026049,0.4,0.0581291592520092,0.125,1.0,0.0072036449065011,0.0581291592520092,14
中信风格指数:成长,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1956308816663197,0.4,-0.0155697015514508,0.125,1.0,-0.0020087126939313,-0.0155697015514508,14
中信风格指数:稳定,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.115105852418251,0.4,0.0323498624175468,0.125,1.0,0.0039812328021933,0.0323498624175468,14
中证全指,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1585164465893889,0.4,0.0376480879304772,0.125,1.0,0.0046435109913096,0.0376480879304772,14
中证红利,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1219274816958332,0.4,0.0733316975353035,0.125,1.0,0.0091039621919129,0.0733316975353035,14
申万中盘指数,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1872058511765952,0.4,0.0054730325991037,0.125,1.0,0.0006216290748879,0.0054730325991037,14
申万大盘指数,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1168290813533341,0.4,0.0754504504504507,0.125,1.0,0.0093688063063063,0.0754504504504507,14
申万小盘指数,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.2131557579773582,0.4,-0.0038351441539751,0.125,1.0,-0.0005418930192468,-0.0038351441539751,14
中信风格指数:周期,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.2388295463366908,0.4,0.1061327403734746,0.125,1.0,0.0132040925466843,0.1061327403734746,14
中信风格指数:成长,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.2469892370928682,0.4,0.0515723947516522,0.125,1.0,0.0063840493439565,0.0515723947516522,14
中信风格指数:稳定,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.1395401529585737,0.4,0.0616652882189983,0.125,1.0,0.0076456610273747,0.0616652882189983,14
中证全指,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.1911920016897837,0.4,0.0795687011573846,0.125,1.0,0.009883587644673,0.0795687011573846,14
中证红利,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.1362662100066494,0.4,0.0911499324783458,0.125,1.0,0.0113312415597932,0.0911499324783458,14
申万中盘指数,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.2348031941205568,0.4,0.0680162167653279,0.125,1.0,0.0084395270956659,0.0680162167653279,14
申万大盘指数,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.1318113799773714,0.4,0.0940094587493431,0.125,1.0,0.0116886823436678,0.0940094587493431,14
