symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return
中信风格指数:成长,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3426609265177841,0.4,0.07725951876144821,0.11111111111111112,1.0,0.00852883541793869,0.07725951876144821
中信风格指数:消费,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3001566851494818,0.4,0.05416459276781671,0.11111111111111112,1.0,0.005962732529757413,0.05416459276781671
中信风格指数:稳定,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.19458652645301977,0.4,0.09517966538952849,0.11111111111111112,1.0,0.010519962821058722,0.09517966538952849
中证全指,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.2891610104261423,0.4,0.07075778158407653,0.11111111111111112,1.0,0.007806420176008504,0.07075778158407653
中证红利,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.271354414157559,0.4,0.08841010034138796,0.11111111111111112,1.0,0.009767788926820887,0.08841010034138796
申万中盘指数,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.35403819213351884,0.4,0.06498933656118488,0.11111111111111112,1.0,0.007165481840131655,0.06498933656118488
申万小盘指数,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.32946381130593483,0.4,0.016459664777523475,0.11111111111111112,1.0,0.0017732960863914972,0.016459664777523475
恒生指数,EQUITY,W,2008-10-17,2008-10-24,2008-11-07,1,7,-0.2698537064094617,0.4,-0.021353292277629388,0.4,0.4,-0.008741316911051756,-0.021353292277629388
恒生指数,EQUITY,W,2008-10-24,2008-10-31,2008-11-14,1,8,-0.36696919206866274,0.4,0.07324872981514852,0.4,0.4,0.029099491926059408,0.07324872981514852
ICE布油,COMMO,M,2009-02-27,2009-03-31,2009-05-29,1,8,-0.7050758459743292,0.35,0.33259149357072215,0.08045977011494251,1.0,0.026720005229828214,0.33259149357072215
中信风格指数:周期,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6712639384352928,0.4,0.8141245861225559,0.09195402298850575,1.0,0.07481605389632698,0.8141245861225559
中信风格指数:成长,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.5973461421289461,0.4,0.7365292691793104,0.09195402298850575,1.0,0.0676808523383274,0.7365292691793104
中信风格指数:稳定,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.561713507174431,0.4,0.30785813269675444,0.09195402298850575,1.0,0.028262816799701558,0.30785813269675444
中信风格指数:金融,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6549612677009256,0.4,0.7959377137196242,0.09195402298850575,1.0,0.07314369781329877,0.7959377137196242
中证全指,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6406323613068696,0.4,0.6797184385743507,0.09195402298850575,1.0,0.06245686791488282,0.6797184385743507
中证红利,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6646899741318493,0.4,0.6522249886032894,0.09195402298850575,1.0,0.05992873458421052,0.6522249886032894
恒生综合行业指数-资讯科技业,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6305002428363283,0.4,1.3847551776162388,0.09195402298850575,1.0,0.12728783242448172,1.3847551776162388
标普500,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.3848579367457571,0.4,0.17030722391364495,0.09195402298850575,1.0,0.015614457371369649,0.17030722391364495
申万中盘指数,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6187819147137399,0.4,0.764355835477099,0.09195402298850575,1.0,0.07023961705536542,0.764355835477099
申万大盘指数,EQUITY,Q,2008-12-31,2009-03-31,2009-09-30,1,5,-0.6440856068857124,0.4,0.621989774260788,0.09195402298850575,1.0,0.057148484989497754,0.621989774260788
恒生指数,EQUITY,Q,2009-03-31,2009-06-30,2009-12-31,1,5,-0.40584265640259287,0.4,0.6111128891646034,0.4,0.8,0.24424515566584135,0.6111128891646034
标普500,EQUITY,Q,2009-03-31,2009-06-30,2009-12-31,1,6,-0.4566250783186684,0.4,0.3975960996152257,0.4,0.8,0.15883843984609028,0.3975960996152257
期货收盘价(连续):CBOT小麦,COMMO,Q,2009-06-30,2009-09-30,2010-03-31,1,5,-0.39382262271757174,0.35,-0.11100244498777523,0.35,0.35,-0.03902585574572133,-0.11100244498777523
期货收盘价(连续):CBOT小麦,COMMO,Q,2009-09-30,2009-12-31,2010-06-30,1,6,-0.45755276262746025,0.35,0.0169398907103826,0.35,0.35,0.005753961748633909,0.0169398907103826
中信风格指数:稳定,EQUITY,W,2010-05-21,2010-05-28,2010-06-11,1,7,-0.19486074753930893,0.4,0.010408854576346327,0.4,0.4,0.003963541830538531,0.010408854576346327
恒生医疗保健指数,EQUITY,W,2011-08-19,2011-08-26,2011-09-09,1,7,-0.21328448981524706,0.4,0.029675427696779222,0.4,0.4,0.011670171078711688,0.029675427696779222
中信风格指数:周期,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.19490212433660636,0.4,0.003217608806832528,0.125,1.0,0.000339701100854066,0.003217608806832528
中信风格指数:成长,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.17599423779744772,0.4,-0.0444834651503182,0.125,1.0,-0.005622933143789775,-0.0444834651503182
中信风格指数:稳定,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.10894394137849273,0.4,-0.008041271273101391,0.125,1.0,-0.001067658909137674,-0.008041271273101391
中证全指,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.14806410937509995,0.4,-0.00897817814358326,0.125,1.0,-0.0011847722679479075,-0.00897817814358326
中证红利,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.11868083699540499,0.4,0.021968202586279517,0.125,1.0,0.0026835253232849396,0.021968202586279517
申万中盘指数,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.17655289378842476,0.4,-0.029881743130288463,0.125,1.0,-0.003797717891286058,-0.029881743130288463
申万大盘指数,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.11449322967991538,0.4,0.023132882697221913,0.125,1.0,0.002829110337152739,0.023132882697221913
申万小盘指数,EQUITY,W,2011-12-23,2011-12-30,2012-01-13,1,7,-0.19182369392827925,0.4,-0.0477209649666448,0.125,1.0,-0.0060276206208306,-0.0477209649666448
中信风格指数:周期,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.20429793240260496,0.4,0.05812915925200923,0.125,1.0,0.007203644906501154,0.05812915925200923
中信风格指数:成长,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1956308816663197,0.4,-0.015569701551450876,0.125,1.0,-0.0020087126939313596,-0.015569701551450876
中信风格指数:稳定,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.115105852418251,0.4,0.03234986241754689,0.125,1.0,0.0039812328021933616,0.03234986241754689
中证全指,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.1585164465893889,0.4,0.03764808793047725,0.125,1.0,0.004643510991309656,0.03764808793047725
中证红利,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.12192748169583323,0.4,0.07333169753530355,0.125,1.0,0.009103962191912944,0.07333169753530355
申万中盘指数,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.18720585117659527,0.4,0.0054730325991037,0.125,1.0,0.0006216290748879624,0.0054730325991037
申万大盘指数,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.11682908135333414,0.4,0.07545045045045073,0.125,1.0,0.009368806306306342,0.07545045045045073
申万小盘指数,EQUITY,W,2011-12-30,2012-01-06,2012-01-20,1,8,-0.2131557579773582,0.4,-0.003835144153975123,0.125,1.0,-0.0005418930192468904,-0.003835144153975123
中信风格指数:周期,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.23882954633669085,0.4,0.10613274037347464,0.125,1.0,0.01320409254668433,0.10613274037347464
中信风格指数:成长,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.24698923709286824,0.4,0.051572394751652206,0.125,1.0,0.006384049343956526,0.051572394751652206
中信风格指数:稳定,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.1395401529585737,0.4,0.061665288218998304,0.125,1.0,0.007645661027374788,0.061665288218998304
中证全指,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.19119200168978379,0.4,0.07956870115738468,0.125,1.0,0.009883587644673085,0.07956870115738468
中证红利,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.1362662100066494,0.4,0.0911499324783458,0.125,1.0,0.011331241559793225,0.0911499324783458
申万中盘指数,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.23480319412055684,0.4,0.06801621676532799,0.125,1.0,0.008439527095665998,0.06801621676532799
申万大盘指数,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.13181137997737147,0.4,0.09400945874934319,0.125,1.0,0.011688682343667899,0.09400945874934319
申万小盘指数,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.2649226452132739,0.4,0.06631849807858337,0.125,1.0,0.00822731225982292,0.06631849807858337
恒生医疗保健指数,EQUITY,Q,2011-12-30,2012-03-30,2012-09-28,1,5,-0.3684060207050066,0.4,0.1707869673250757,0.4,0.4,0.06811478693003027,0.1707869673250757
伦敦银现,COMMO,W,2012-06-08,2012-06-15,2012-06-29,1,7,-0.08858897275169497,0.2657669182550849,-0.03568671485718311,0.2657669182550849,0.5525467875017175,-0.00961723168936905,-0.03568671485718311
恒生医疗保健指数,EQUITY,W,2012-06-08,2012-06-15,2012-06-29,1,7,-0.07169496731165814,0.28677986924663257,0.06098690740653234,0.28677986924663257,0.5525467875017175,0.017346427397178517,0.06098690740653234
ICE布油,COMMO,W,2012-06-15,2012-06-22,2012-07-06,1,7,-0.13638392857142856,0.35,0.00555699147066413,0.35,0.35,0.0017699470147324453,0.00555699147066413
ICE布油,COMMO,W,2012-06-22,2012-06-29,2012-07-13,1,8,-0.2007812499999999,0.35,0.11827956989247301,0.35,0.35,0.04122284946236555,0.11827956989247301
中信风格指数:周期,EQUITY,W,2012-08-03,2012-08-10,2012-08-24,1,7,-0.09607217414587621,0.38428869658350484,-0.003152941311152402,0.38428869658350484,0.38428869658350484,-0.0014037840551587957,-0.003152941311152402
期货收盘价(连续):CBOT小麦,COMMO,W,2013-03-08,2013-03-15,2013-03-29,1,7,-0.10838709677419356,0.3251612903225807,0.0,0.3251612903225807,0.3251612903225807,-0.00016258064516129034,0.0
期货收盘价(连续):CBOT小麦,COMMO,W,2014-01-17,2014-01-24,2014-02-07,1,7,-0.11494703805413886,0.3448411141624166,0.02393617021276606,0.3448411141624166,0.3448411141624166,0.008081755047870287,0.02393617021276606
现货结算价:LME铜,COMMO,W,2015-01-23,2015-01-30,2015-02-13,1,7,-0.14487091090170845,0.35,0.02687690378068419,0.35,0.35,0.009231916323239466,0.02687690378068419
现货结算价:LME铜,COMMO,W,2015-01-30,2015-02-06,2015-02-20,1,8,-0.15651574350723974,0.35,0.03669391462306981,0.35,0.35,0.012667870118074433,0.03669391462306981
伦敦金现,COMMO,W,2015-08-07,2015-08-14,2015-08-28,1,7,-0.06927423747276673,0.2078227124183002,0.036053911707691455,0.2078227124183002,0.2078227124183002,0.007388910368173198,0.036053911707691455
ICE布油,COMMO,W,2015-08-14,2015-08-21,2015-09-04,1,7,-0.2105581301632078,0.35,0.012761613067891586,0.35,0.35,0.004291564573762055,0.012761613067891586
ICE布油,COMMO,W,2015-08-21,2015-08-28,2015-09-11,1,8,-0.26455772718114046,0.35,0.06383561643835622,0.35,0.35,0.022167465753424674,0.06383561643835622
恒生地产分类指数,EQUITY,W,2015-09-04,2015-09-11,2015-09-25,1,7,-0.17597363511291853,0.4,0.051471089260969105,0.4,0.8,0.020388435704387645,0.051471089260969105
恒生指数,EQUITY,W,2015-09-04,2015-09-11,2015-09-25,1,7,-0.17063884806540452,0.4,0.01658828604345075,0.4,0.8,0.006435314417380301,0.01658828604345075
现货结算价:LME铜,COMMO,Q,2015-09-30,2015-12-31,2016-06-30,1,5,-0.24391330166270786,0.35,-0.05222854898880813,0.35,0.35,-0.018454992146082847,-0.05222854898880813
伦敦金现,COMMO,Q,2015-12-31,2016-03-31,2016-09-30,1,6,-0.12187693962841895,0.35,0.24034003091190104,0.35,0.7,0.08394401081916536,0.24034003091190104
现货结算价:LME铜,COMMO,Q,2015-12-31,2016-03-31,2016-09-30,1,6,-0.3019596199524941,0.35,0.027647809442790328,0.35,0.7,0.009501733304976613,0.027647809442790328
